Sim	QM	forNTS	indicator	confidence
490	10	6952.043204196955	0	2
491	11	6978.563978940397	0	2
492	12	6996.522281614589	0	2
493	13	6996.260571373294	0	2
494	14	7000.370560817056	0	2
495	15	6952.84552057438	0	2
496	16	6932.808633769441	0	2
497	17	6930.73894177339	0	2
498	18	6923.122440924822	0	2
499	19	6877.515695406859	0	1
500	20	6850.174571871133	-1	1
501	21	6846.91709982498	-1	1
502	22	6840.819496231583	-1	1
503	23	6846.606835729262	-1	1
504	24	6855.137282764811	-1	1
505	25	6842.417782232024	-1	1
506	26	6834.052468533267	-1	1
507	27	6815.21333313319	-1	1
508	28	6797.475559727523	-1	2
509	29	6782.725634834432	-1	2
510	30	6786.896597250925	-1	2
511	31	6769.802325554298	-1	2
512	32	6784.795666412472	-1	2
513	33	6769.849052058811	-1	2
514	34	6795.686880919013	-1	2
515	35	6794.955807603242	-1	2
516	36	6778.958536343956	-1	2
517	37	6794.940252548781	-1	2
518	38	6814.436385674705	-1	1
519	39	6815.011329815966	-1	1
520	40	6814.46746417622	-1	1
521	41	6808.23521876316	-1	2
522	42	6800.02608253246	-1	2
523	43	6808.095319720831	-1	2
524	44	6802.8094976878	-1	2
525	45	6796.2623870994485	-1	2
526	46	6797.040070696607	-1	2
527	47	6794.878032204633	-1	2
528	48	6792.9646579700175	-1	2
529	1	6778.257960966365	-1	2
530	2	6776.311783493438	-1	2
531	3	6784.982425162242	-1	2
532	4	6779.301030516835	-1	2
533	5	6769.69329659894	-1	2
534	6	6766.141727190467	-1	2
535	7	6774.069541298369	-1	2
536	8	6782.367636726637	-1	2
537	9	6787.534612066049	-1	2
538	10	6724.50160807355	-1	2
539	11	6711.554297311454	-1	2
540	12	6688.308122485051	-1	2
541	13	6687.901411464058	-1	2
542	14	6673.128724650827	-1	2
543	15	6695.533602717908	-1	2
544	16	6696.127783185618	-1	2
545	17	6672.314638056389	-1	2
546	18	6643.673923835836	-1	3
547	19	6635.722601309425	-1	3
548	20	6618.538082894009	-1	3
549	21	6606.224556104774	-1	3
550	22	6600.7719652513415	-1	3
551	23	6600.866259930034	-1	3
552	24	6593.462673568783	-1	3
553	25	6601.762035553383	-1	3
554	26	6590.805466330341	-1	3
555	27	6589.6261106286875	-1	3
556	28	6581.305594291467	-1	3
557	29	6559.629563249196	-1	3
558	30	6547.986124739621	-1	3
559	31	6543.998253655275	-1	3
560	32	6511.795719779348	-1	3
561	33	6500.61182948991	-1	3
562	34	6490.290691744811	-1	3
563	35	6490.5436528676455	-1	3
564	36	6490.116778944582	-1	3
565	37	6482.953297218343	-1	3
566	38	6468.079711514638	-1	3
567	39	6476.815455584444	-1	3
568	40	6471.546023448545	-1	3
569	41	6471.846722663934	-1	3
570	42	6469.868347404687	-1	3
571	43	6467.5098437680135	-1	3
572	44	6467.193242880719	-1	3
573	45	6464.612740652506	-1	3
574	46	6454.984083909452	-1	3
575	47	6489.721516433664	-1	3
